company,tax_id,license,address,fit_hint
Công ty TNHH PCA HR,0317723921,21715/2023/44/SLĐTBXH-VLATLĐ,"Tầng 2, 124 Điện Biên Phủ, Phường Đa Kao, Quận 1",yes
Công ty TNHH Wind-Smile Việt Nam,0315137840,25158/2023/52/SLĐTBXH-VLATLĐ,"Tầng 7, Tòa nhà Abacus, 58 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",
Công ty TNHH Leapin Vietnam,0317832818,27812/2023/56/SLĐTBXH-VLATLĐ,"Tầng 1, 114 Điện Biên Phủ, Phường Đa Kao, Quận 1",
Công ty Cổ phần Dịch Vụ Logistics Dầu Khí Việt Nam,0311523789,29769/2023/62/SLĐTBXH-VLATLĐ,"Phòng 201-202, Lầu 2 Tòa nhà Petro Việt Nam, số 1-5 Lê Duẩn, Phường Bến Nghé, Quận 1",
Công ty TNHH Abelieve Việt Nam,0314186362,30066/2023/63/SLĐTBXH-VLATLĐ,"Phòng 18, Tầng 3, Tòa nhà Indochina, số 4 Nguyễn Đình Chiểu, phường Đa Kao, Quận 1",
Công ty Cổ phần PGT Solutions,0313648575,188/2024/04/SLĐTBXH-VLATLĐ,"Lầu 12, Tòa nhà Pax Sky, 144-146-148 Lê Lai, phường Bến Thành, Quận 1",
Công ty TNHH First Aim,0318129799,1048/2024/06/SLĐTBXH-VLATLĐ,"18Bis/5 Nguyễn Thị Minh Khai, phường Đa Kao, Quận 1",
Công ty Cổ phần Talaria,0318201318,2325/2024/09/SLĐTBXH-VLATLĐ,"27B/9 Nguyễn Đình Chiểu, phường Đa Kao, Quận 1",
Công ty TNHH Newbridge & Partners (Việt Nam),0317907118,2326/2024/10/SLĐTBXH-VLATLĐ,"Tầng 12, Tòa nhà FiveStar, Số 28bis Mạc Đĩnh Chi, phường Đa Kao, Quận 1",
Công ty TNHH YY Circle (Vietnam),0318299624,5391/2024/18/SLĐTBXH-VLATLĐ,"Tầng 19, P.1901, Saigon Trade Center, số 37 Tôn Đức Thắng, phường Bến Nghé, Quận 1",
Công ty TNHH People Profilers Services Việt Nam,0318135337,6208/2024/20/SLĐTBXH-VLATLĐ,"Tầng 6, Phòng F.601, số 36 Mạc Đĩnh Chi, phường Đa Kao, Quận 1",
Công ty TNHH Trantor Tech,0318319937,8758/2024/24/SLĐTBXH-VLATLĐ,"Phòng 413 Tầng 4, Tòa nhà IMC, số 62 Trần Quang Khải, phường Tân Định, Quận 1",yes
Công ty TNHH Accounting Office Clear Việt Nam,0311955796,22960/2024/46/SLĐTBXH-VLATLĐ,"Số 21-23 Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1",
